Date,Page followers,Total impressions,Organic impressions,Total page reactions,Total reach,% of reach from organic,% of reach from paid,Page post engagements,Total likes,New likes,Unlikes,Net likes,RowHash
2/3/2025,2146,16,0,0,16,,0,0,2109,0,0,0,ef87c8184ef59de1d7c83833fd28aba94a9f26343482ec891d7d8b2a2bd61c35
1/3/2025,2146,108,0,5,101,,0,9,2111,1,0,1,50ae2eba54bce2196bab4d40afe6970691ba51c78c0287294cb5bcc6e04a740d
28/02/2025,2145,1,0,0,1,,0,0,2110,0,0,0,671d002ee27ad653a043db917f4f26c2ef521efe507938630905c23354f0d117
27/02/2025,2145,9,0,0,3,,0,0,2110,1,0,1,641223fa553c09a2f7aace7993a703ec0532368a5da577dbb6377bb9f0982f5a
26/02/2025,2144,5,0,0,3,,0,0,2109,0,1,-1,7460cb1200c8399b7228e0117f286f85d27d66931758f17ae638324ce449fac4
25/02/2025,2145,0,0,0,0,,0,0,2110,0,2,-2,9fb19de2515a5b2a4d35f246c027abb7b3b7a1cb4d2c07cc1a0d15b6bbb8d6ea
24/02/2025,2147,1,0,0,1,,0,0,2112,0,0,0,f3c299ed6fb8763348aad18b07a8de29d41e71e7049ee10d14571876a2181d9d
23/02/2025,2147,1,0,0,1,,0,0,2112,0,0,0,4d3f5971bde5d05b420d38aa055e8b2d591da0fd91feff13440361d118440131
22/02/2025,2147,0,0,0,0,,0,0,2112,0,1,-1,5d913e2e072d0e7e064ae3b45c5d4c55be370dafa0f23b86b6d2f70bdf9da364
21/02/2025,2148,3,0,0,3,,0,0,2113,1,0,1,acd15211867b5e4036fc82c059317c91e58d9cb88b9725b6528d50efc622da4e
20/02/2025,2147,19,0,0,5,,0,0,2112,0,0,0,3625d46956c9bc75773d1d8db71862f4ed42c9e03f503d7c48a025ed9d929329
19/02/2025,2147,13,0,0,7,,0,0,2112,0,0,0,e8fa8f7627ae4d15fdeb893f9e957d4d7286a503400fe4db64db2df2e39b0f93
18/02/2025,2147,12,0,0,3,,0,0,2112,0,0,0,6d4a597d6293318c5ef0d7bb8513aa215ad876b7a3acc656206825a0787c437e
