Date,Profile impressions,Shares,Engagement,Profile visits,Profile reach,Reel shares,New followers,RowHash
02/03/2025,83,0,0,0,71,0,0,55f2240d75506aea662053ed9adc6bd9cf1c6260073aac05b063bdd05c4e7d01
01/03/2025,109,0,0,0,82,0,0,09bb917c7fbc3422e044813ba2982c54e551815df0032249b9747762fae22ef5
28/02/2025,108,0,0,0,59,0,0,225a205709a1df025548f1d46a88e97d473b8c10c6258868be1494ea2a058809
27/02/2025,82,0,0,0,45,0,19,fdc3b58749c9d80ef81a8d980e49b5dae70dbb324031b13fd61a355b56bd483b
26/02/2025,88,0,0,0,49,0,3,97be7df9e0bca9117fc86568d3b6a8cbe46c8824596b7c84179ef8b57fd7084e
25/02/2025,129,0,0,0,63,0,2,d662ca34ccf14426c5f6b3b86d4ec87b9abc433f0ac07a0cae5a64a9aa1f30e2
24/02/2025,239,0,0,0,160,0,2,7247af4080e43b8f955be888c4c9abbe0ca3f7480e804de5e0eb9905a5318092
23/02/2025,218,0,0,0,125,0,6,5b5f57176b13d2ba5712acb307f3c5ce6997567b171da69cf6a379a5ce6f77f6
22/02/2025,112,0,0,0,61,0,5,18ef527e3f79bbace108f155efebe5a3adeaf993be1dac92a7917963d7785a86
21/02/2025,235,0,0,0,213,0,9,46b24267e1eb8a3e8555491e82c962f8a75fb0939188848a21b8646345c07b75
20/02/2025,275,0,0,0,244,0,3,0882f39da68c56a3989b453c835cfede47c704559f6baa2d4e53f4a540af9036
19/02/2025,147,0,0,0,95,0,2,03719ae388e436659d34de1f5f7c6120f02ef07fe171d2b2195107be20ec48ab
18/02/2025,148,0,0,0,102,0,6,e7261c66a387daebbde60c917426e22d2f5991112c1739444c512f378e539e6d
17/02/2025,87,0,0,0,64,0,3,f0de2923b5a081f8301201eaa2689d223f4881de55074b415c439812d6f001a0
16/02/2025,100,0,0,0,76,0,1,a93cf97e6327249cb607aaae94c9b0df3f2794812dec125d95e37560f5994239
15/02/2025,106,0,0,0,77,0,1,80dbf94f59b557bab161c53d3c76342dfd6abd6561ac1e2e25768d82adf83f5c
14/02/2025,196,0,0,0,127,0,5,c8665d0d064415c87b3878b9fade96168261208eec57c4f86777ec807a95fc58
13/02/2025,115,0,0,0,82,0,6,7af381b271cc915fd839d0af2a1c3c752e2bdf5aacb8be4b8f6282e7f503051e
12/02/2025,142,0,0,0,94,0,4,2898c2f8b4bc6ebfc202229efa07794ef17ea145dbb9f8fc8ff84f1e5d539d02
11/02/2025,728,0,0,0,571,0,6,4dfb06902450859fbe6eb984ffaae7226c16d5751284baa92d0f8c5dd7dc18c1
10/02/2025,820,0,0,0,668,0,4,54b91046d10a4e18e4e659e13c13b354962f4ce8c7d0be779b34e40f110420e9
09/02/2025,1142,0,0,0,710,0,10,69db68b1335f998bafd3944126351d32ba4937ad903a527e7ab07f8832c3a0fc
08/02/2025,833,0,0,0,632,0,4,02d233ad9169c5498c7bf8e779ea724e85b2658d6bc72045f9638b146216c2d8
07/02/2025,822,0,0,0,676,0,8,d6168db94be77c1295b790391ac2642c1fe61648bd08ba84885e146c206d9156
06/02/2025,835,0,0,0,612,0,3,967c3d1fa106e1a4be703833865be9fa1ec6b465ab4119bfc6218a67ddbe4d7f
05/02/2025,895,0,0,0,743,0,8,b459b270fc1c55c1cea3caf18e94dca04c0ab87d443d625af906a52eaa6113c0
04/02/2025,567,0,0,0,445,0,4,9ca297ccfed7e06ae35d1d5d02cd68aadd9d497f50f20908f0e1b41b6ac7ab5c
03/02/2025,1032,0,0,0,822,0,8,8f052fe6e23fcf8d6c1f53035524296b88305fdfc639a3739e7be028b6bcf34b
02/02/2025,395,0,0,0,292,0,6,478e4793a0433e62b73c7b67f99a5d3689cb15cb1f2e2bff23346b053e89f156
01/02/2025,453,0,0,0,328,0,6,9a777937cc879f1ed36a4376e5ba7a17cdc3b35b9b93d3e6e8d3938b46018036
31/01/2025,410,0,0,0,340,0,6,b173fe520d20454e710686b9937aa2afd8f4b73420465fc7bb30cf2bb306f295
30/01/2025,486,0,0,0,335,0,2,4bce43204f19f0e0e3466639d5a64d1b2fdc9d2c9f2907cd397372c70b4c5f72
29/01/2025,505,0,0,0,363,0,2,878f98cab014e6c0bb389361877359275d6a550ba7e5ccdbb91a933d95c572c1
28/01/2025,440,0,0,0,335,0,2,1fb33cee9283095c36db8fd594db27e03be570ad4d1452c35400a732e449a280
27/01/2025,908,0,0,0,721,0,10,bd4491a995d3d5d1c0aab7a3c31a436b8d2e155d2df04224fbb2bdb8263db1e7
26/01/2025,946,0,0,0,751,0,12,9439946e16a42a337dc22ae156c1d6d2e38a6fce6beb3ea2c09546343696cc8b
25/01/2025,929,0,0,0,572,0,5,09f024bde62c939470cb38556241115f8e127c45f72fc9f3d448c34329e342e4
24/01/2025,633,0,0,0,485,0,7,7427291b329e453f189b60d01139856e286a43d24fbe521eefadba5de7c7f49e
23/01/2025,735,0,0,0,579,0,4,fb59c828a84bee95c6082b8c46460eaf22521ac641d1cdf7921c46e2ce765571
22/01/2025,919,0,0,0,756,0,,196ad6c0deee4729977d17af5c760375552a77702a04a9a3573adbb130efe9b2
21/01/2025,653,0,0,0,517,0,,fd6513f562f5bfa3bb5b7ec474ea83511a308cb1b69fa4b812c8700963e41ea2
20/01/2025,13141,0,0,0,10913,0,,21a83198277d616ac950d9c8f10e913ee90f87123cd3df80d9628d858d98e66a
19/01/2025,25998,1,19,7,20926,0,,acd04d16b977a6e8cfafe26ba70537be402c14031c760b61de465b33fa0cc2f5
18/01/2025,22687,0,10,3,18220,0,,0d9b8c436efe02a9900bafa509a50fef3c30331b084a3a145f521fabdb918c8b
17/01/2025,17280,0,51,0,14131,0,,8b6a3f4cafdcd4aa91b6c3295650376bc6a68167d248a8675edf3729ef765a20
16/01/2025,13326,1,47,0,10988,1,,252ccc11e06a00ff616957fe4fc4bf42309963cd07e5119437aa1e09b7badf37
15/01/2025,14754,1,16,0,11721,1,,e81cb74ccb7350c1dac739953d5cd25d506fbd31bc2e3ea62d2352deed0008cb
14/01/2025,21200,0,137,0,17062,0,,45b8800f9e6e6cc99e6a51a3afda32e72fc3abd6e746b6954f80217f4d56c2e2
13/01/2025,15685,0,82,0,12608,0,,5bd317261ea71085b0d1b886e8259586e778dd7d676f674aee165f9c3eed6707
12/01/2025,16258,0,13,0,13742,0,,889b17e0485fbd2d4ee502fdfbdaa80af9a54fa9f1be0f9f7f7df8fa66f7adad
11/01/2025,12562,0,34,3,9926,0,,d5921cddbd9959dd232ef752c8c01b68f3149f0b781e6e79b08b517ad9578c53
10/01/2025,13603,0,43,0,11545,0,,6215d73fe5fa3dc780a10bcc9570e31a2a74498006916bf0ddd67ae50fab1f29
09/01/2025,14426,1,31,0,11615,1,,1e416f4c251ca84999bf69da3228f1b464fa4c0d10aae7c600150e541626a4b7
08/01/2025,14363,0,50,0,11565,0,,914ef2c4c2ea1c015d5d07b83e9c83ae72d739bf912434ab963574c21524d99c
07/01/2025,17093,0,250,0,13797,0,,442d43edd7040fb5d9b32723e48c46a067c601ea7379b46e5b205b7fb9375fe2
